Gender,Age,Height,Weight,Sport,Weekly_Training_Hours,Training_Intensity,Physical_Conditioning,Nutrition_Score,Previous_Injuries,Injury_Risk
Women,36,156,57.2,Running,2.5,Low,5.3,9.1,5,low
Women,22,170,50.1,Football,16.7,High,7.0,6.8,5,high
Men,30,171,69.7,Gymnastics,5.5,Moderate,3.6,3.4,4,low
Women,25,182,84.6,Basketball,13.9,Moderate,5.2,7.4,0,high
Women,26,180,71.5,Football,8.8,Moderate,8.6,7.4,0,high
Women,28,165,63.9,Running,10.5,Moderate,6.8,3.1,4,high
Women,29,156,42.0,Gymnastics,3.2,Low,9.3,5.0,4,low
Men,34,180,67.3,Gymnastics,19.2,High,7.6,4.6,2,high
Women,34,168,47.8,Gymnastics,17.8,High,7.9,6.9,2,high
Men,26,175,85.1,Football,8.1,Moderate,1.3,9.6,0,high
Women,39,155,68.2,Football,17.0,High,4.7,5.1,2,high
Men,24,181,75.4,Swimming,6.9,Moderate,6.9,1.2,0,low
Men,31,175,69.6,Football,6.0,Moderate,3.6,3.8,2,low
Women,22,166,51.7,Running,11.5,Moderate,5.0,5.9,3,low
Women,25,180,59.5,Basketball,0.9,Low,3.8,9.0,3,low
Women,24,180,67.7,Swimming,11.2,Moderate,8.2,3.7,5,high
Men,28,183,67.9,Running,7.4,Moderate,7.2,9.3,2,high
Men,20,185,60.4,Football,12.7,Moderate,8.9,4.7,1,high
Women,35,167,48.1,Running,6.8,Moderate,7.0,7.0,4,low
Women,37,157,53.8,Gymnastics,18.2,High,7.8,1.9,0,high
Women,23,179,51.3,Running,19.4,High,4.6,3.0,0,low
Men,40,182,70.9,Football,18.7,High,4.5,2.5,1,high
Men,24,187,88.8,Football,6.1,Moderate,7.6,2.0,1,high
Men,38,164,62.6,Gymnastics,5.0,Moderate,3.7,4.0,0,low
Men,30,191,60.9,Football,0.9,Low,8.7,4.8,5,high
Men,19,190,78.5,Swimming,4.5,Low,2.3,4.6,4,high
Men,26,182,62.0,Running,16.9,High,8.5,5.1,3,high
Women,22,167,54.0,Running,0.1,Low,3.3,3.2,5,low
Women,23,165,48.0,Gymnastics,19.8,High,1.0,9.6,0,low
Men,22,171,55.1,Running,3.5,Low,7.7,8.9,5,low
Women,24,152,47.5,Running,18.1,High,4.8,2.2,2,low
Women,31,188,58.0,Swimming,16.7,High,9.0,4.0,3,high
Women,18,150,52.0,Gymnastics,1.0,Low,2.3,8.4,2,low
Men,20,201,91.8,Swimming,18.0,High,2.0,9.1,2,high
Men,39,162,72.9,Running,9.5,Moderate,7.5,4.5,0,high
Women,29,150,47.6,Running,0.6,Low,1.5,5.4,0,low
Women,34,168,79.5,Swimming,16.2,High,2.5,3.8,1,high
Men,19,198,92.3,Swimming,4.2,Low,6.7,5.5,2,high
Women,31,176,76.7,Basketball,16.9,High,7.4,7.5,1,high
Men,35,187,60.8,Running,10.3,Moderate,2.0,3.9,2,high
Men,31,178,64.5,Gymnastics,18.3,High,6.3,8.7,4,high
Men,26,195,79.5,Swimming,2.7,Low,2.2,2.8,3,high
Women,19,157,45.6,Running,17.4,High,5.5,7.3,4,low
Women,30,161,54.2,Running,12.7,Moderate,7.7,6.3,3,high
Men,20,191,106.4,Basketball,19.6,High,2.4,7.5,3,high
Men,22,188,103.4,Basketball,0.4,Low,7.9,2.6,3,high
Men,18,170,63.7,Football,6.8,Moderate,4.2,6.4,4,low
Women,27,152,49.8,Running,5.4,Moderate,7.1,1.5,5,low
Men,36,162,64.0,Gymnastics,19.5,High,8.8,4.9,2,high
Women,24,184,52.0,Football,13.0,Moderate,7.7,3.0,0,low
Women,27,171,47.9,Running,5.1,Moderate,6.7,4.4,3,low
Women,23,161,47.2,Gymnastics,9.9,Moderate,1.9,7.3,5,low
Men,37,198,95.7,Swimming,14.4,Moderate,5.8,7.2,1,high
Women,19,200,55.6,Basketball,10.9,Moderate,6.2,5.4,2,high
Women,37,157,62.1,Football,9.6,Moderate,6.9,6.3,1,high
Women,30,160,64.4,Football,11.4,Moderate,5.8,2.3,3,low
Men,38,189,68.4,Football,10.2,Moderate,5.8,5.3,5,high
Men,22,165,86.8,Football,11.9,Moderate,9.3,1.9,2,high
Women,33,176,63.5,Football,9.9,Moderate,9.1,1.2,3,high
Women,32,198,64.1,Basketball,12.5,Moderate,4.3,9.2,5,high
Women,24,157,71.6,Football,1.7,Low,9.8,4.6,1,low
Women,18,162,50.4,Football,18.4,High,6.5,5.7,1,low
Women,30,162,42.9,Gymnastics,6.9,Moderate,3.9,1.5,1,low
Men,30,205,83.8,Swimming,11.3,Moderate,7.2,6.1,1,high
Women,23,175,71.7,Basketball,11.3,Moderate,6.2,2.0,4,high
Women,20,176,48.6,Running,7.8,Moderate,7.1,10.0,4,low
Men,40,184,59.1,Running,6.2,Moderate,7.2,2.7,4,high
Men,35,180,78.2,Football,2.4,Low,3.3,9.7,4,high
Men,35,160,61.8,Running,18.4,High,3.5,7.8,4,high
Men,25,200,81.1,Swimming,16.9,High,4.2,8.9,5,high
Women,22,173,58.7,Swimming,0.4,Low,2.0,4.0,3,low
Men,21,194,82.7,Swimming,1.3,Low,6.1,1.9,2,high
Women,22,163,51.8,Running,10.4,Moderate,9.0,4.3,5,low
Men,33,178,52.6,Running,12.0,Moderate,2.6,7.6,4,high
Women,40,181,68.3,Basketball,15.5,High,4.0,6.7,0,high
Men,32,166,73.3,Gymnastics,2.7,Low,8.3,8.1,5,high
Women,26,158,45.8,Gymnastics,8.0,Moderate,9.5,2.9,5,low
Women,28,181,68.4,Swimming,16.9,High,4.2,1.4,0,high
Men,35,188,70.7,Football,7.1,Moderate,1.5,5.1,2,high
Men,30,176,92.4,Swimming,7.3,Moderate,8.2,5.3,4,high
Women,37,176,66.2,Basketball,13.2,Moderate,1.6,6.1,4,high
Women,18,177,64.1,Basketball,12.5,Moderate,2.5,6.2,0,low
Men,37,214,83.9,Basketball,0.9,Low,9.3,9.1,0,high
Women,26,180,59.7,Football,19.9,High,7.4,8.1,5,high
Men,39,180,72.7,Gymnastics,12.3,Moderate,6.5,8.7,1,high
Men,30,178,71.0,Gymnastics,18.1,High,2.8,8.6,3,high
Men,29,171,61.5,Gymnastics,7.1,Moderate,7.8,2.5,3,low
Women,34,160,54.7,Gymnastics,11.7,Moderate,1.4,7.5,1,low
Men,31,189,100.0,Basketball,18.3,High,2.0,9.0,2,high
Men,26,173,70.8,Running,9.4,Moderate,7.0,5.4,1,high
Men,26,183,62.5,Running,19.8,High,3.3,4.5,1,high
Men,29,189,79.6,Basketball,12.4,Moderate,8.2,7.2,4,high
Men,26,190,73.6,Running,19.1,High,7.9,5.1,4,high
Women,33,159,54.8,Football,5.1,Moderate,9.4,3.7,0,low
Men,39,173,70.4,Football,11.9,Moderate,7.5,5.4,3,high
Women,26,171,55.7,Running,1.0,Low,1.8,8.4,3,low
Men,31,186,50.3,Running,10.6,Moderate,3.2,2.5,0,low
Women,24,155,54.5,Gymnastics,17.6,High,6.2,3.7,1,low
Women,38,154,60.9,Running,11.5,Moderate,7.4,7.2,5,high
Men,28,180,67.8,Football,1.1,Low,5.6,5.8,5,high
Women,32,161,57.0,Football,8.7,Moderate,4.4,1.9,1,low
Men,21,196,91.5,Swimming,3.0,Low,1.1,7.4,2,high
Women,26,150,49.1,Gymnastics,6.5,Moderate,1.0,5.6,4,low
Women,22,164,62.8,Football,3.3,Low,8.2,7.7,4,low
Women,37,185,68.9,Football,0.4,Low,3.5,9.3,4,high
Women,32,169,46.8,Gymnastics,6.6,Moderate,3.3,7.9,0,low
Women,21,179,61.5,Running,6.3,Moderate,3.4,1.6,4,low
Women,33,152,53.0,Running,19.6,High,7.3,4.4,4,high
Women,28,168,56.9,Swimming,5.9,Moderate,6.2,9.9,3,low
Men,21,170,70.6,Running,1.5,Low,6.5,8.8,1,low
Men,25,167,68.1,Football,7.5,Moderate,4.4,4.8,1,low
Men,32,173,56.6,Gymnastics,9.0,Moderate,2.4,4.9,1,low
Women,27,170,74.4,Football,15.1,High,5.5,6.0,3,high
Men,29,189,72.8,Swimming,4.7,Low,2.5,7.1,1,high
Women,28,152,40.7,Gymnastics,2.6,Low,3.5,1.9,0,low
Men,39,186,66.1,Running,12.6,Moderate,8.7,9.0,2,high
Men,37,196,75.8,Swimming,10.3,Moderate,7.9,8.1,4,high
Men,31,201,93.9,Basketball,19.8,High,6.1,5.2,4,high
Men,37,182,83.4,Swimming,1.7,Low,6.7,3.9,0,high
Men,35,191,61.1,Football,5.8,Moderate,8.6,8.8,4,high
Men,33,167,59.3,Gymnastics,10.0,Moderate,6.2,6.7,4,high
Men,18,167,83.8,Football,13.7,Moderate,5.0,2.3,0,low
Women,35,175,57.0,Running,7.5,Moderate,1.3,6.2,3,low
Men,18,204,89.3,Swimming,2.0,Low,5.3,9.7,3,high
Men,38,171,72.1,Gymnastics,2.0,Low,1.3,9.0,5,high
Women,19,165,72.9,Football,4.5,Low,1.6,5.7,2,low
Men,33,178,68.2,Gymnastics,1.9,Low,1.7,8.7,0,low
Men,22,188,82.7,Football,3.1,Low,6.5,5.7,2,high
Women,24,177,84.6,Basketball,17.3,High,4.8,7.3,5,high
Women,20,189,83.5,Basketball,0.2,Low,6.7,8.5,1,high
Men,38,181,51.9,Running,0.3,Low,1.8,3.8,3,low
Men,27,168,70.6,Gymnastics,19.6,High,2.8,7.6,0,high
Women,21,155,50.8,Gymnastics,3.2,Low,2.6,9.9,1,low
Men,37,178,57.7,Gymnastics,16.5,High,3.0,6.9,0,high
Women,33,170,84.9,Basketball,19.1,High,9.5,8.9,4,high
Women,27,181,63.5,Swimming,11.4,Moderate,2.5,1.9,4,low
Men,29,177,55.4,Gymnastics,10.3,Moderate,9.2,9.7,2,high
Men,23,179,72.4,Swimming,9.3,Moderate,2.0,8.5,2,high
Men,39,202,92.1,Swimming,11.6,Moderate,5.5,1.7,1,high
Women,36,166,66.9,Football,17.1,High,4.0,6.8,3,high
Men,24,198,83.0,Swimming,14.6,Moderate,10.0,6.2,5,high
Men,38,176,77.7,Swimming,0.7,Low,7.1,4.1,3,high
Men,25,199,89.6,Swimming,6.0,Moderate,5.4,9.2,0,high
Women,31,190,78.7,Swimming,15.5,High,6.3,9.3,3,high
Men,25,186,81.1,Swimming,11.9,Moderate,5.3,9.4,5,high
Men,23,186,67.2,Running,5.5,Moderate,5.0,9.3,2,high
Women,28,178,60.3,Running,15.5,High,4.3,1.8,1,low
Women,33,165,46.7,Gymnastics,5.0,Low,5.9,9.2,0,low
Men,21,175,55.6,Running,9.6,Moderate,5.9,3.1,2,low
Men,40,174,60.1,Gymnastics,19.6,High,8.8,4.4,5,high
Women,29,180,63.6,Swimming,17.2,High,3.7,7.3,5,high
Men,40,195,87.0,Swimming,18.5,High,6.3,9.1,0,high
Women,37,195,69.1,Swimming,9.2,Moderate,1.8,5.4,3,high
Men,26,174,66.4,Running,12.5,Moderate,5.6,5.4,2,high
Men,34,204,104.0,Basketball,5.2,Moderate,4.2,2.1,4,high
Women,37,158,52.7,Gymnastics,10.7,Moderate,6.6,3.3,5,high
Women,27,165,51.9,Gymnastics,11.0,Moderate,4.9,7.9,0,low
Men,32,187,80.5,Football,17.6,High,9.2,7.5,3,high
Women,18,154,56.1,Running,4.9,Low,6.6,8.4,5,low
Men,36,177,73.6,Running,8.8,Moderate,8.9,8.1,0,high
Women,25,158,44.0,Gymnastics,15.3,High,7.0,1.4,3,low
Women,28,197,83.8,Basketball,18.2,High,6.0,3.6,3,high
Men,24,188,66.2,Swimming,18.9,High,3.9,9.5,5,high
Women,31,176,61.3,Football,4.5,Low,2.1,4.3,5,low
Women,34,171,72.5,Football,4.3,Low,7.9,3.3,0,high
Women,37,167,66.8,Football,17.8,High,1.6,7.4,4,high
Women,28,168,66.3,Football,6.7,Moderate,3.9,4.9,5,low
Men,40,179,71.4,Running,13.3,Moderate,4.1,6.6,1,high
Men,20,194,98.7,Basketball,5.4,Moderate,5.8,1.7,4,high
Men,25,193,65.7,Football,7.9,Moderate,3.2,9.1,4,high
Men,28,164,66.6,Running,14.4,Moderate,1.3,2.5,1,low
Women,19,199,74.5,Basketball,20.0,High,1.2,6.0,3,high
Men,31,172,70.6,Running,5.3,Moderate,8.2,4.2,0,low
Men,19,186,67.8,Swimming,3.2,Low,9.6,5.9,1,low
Men,28,185,56.7,Running,6.3,Moderate,8.4,2.5,5,high
Men,25,168,53.6,Running,5.6,Moderate,7.6,2.4,1,low
Men,36,197,86.6,Basketball,17.2,High,9.1,6.7,4,high
Men,39,206,74.8,Basketball,0.8,Low,4.0,4.4,0,high
Women,30,179,54.9,Running,17.6,High,7.3,6.8,1,high
Men,36,182,52.5,Running,7.5,Moderate,1.8,5.4,5,high
Men,19,184,52.6,Running,19.0,High,7.4,4.1,4,high
Men,28,202,99.9,Swimming,7.8,Moderate,9.6,4.1,4,high
Men,37,192,74.9,Football,0.4,Low,4.7,3.4,3,high
Women,31,167,57.8,Running,1.8,Low,2.7,8.8,3,low
Women,35,152,61.9,Running,19.4,High,1.9,1.0,4,high
Women,39,177,67.2,Football,9.9,Moderate,1.1,7.6,1,high
Women,38,183,59.0,Swimming,0.2,Low,5.3,4.6,2,low
Women,23,155,59.1,Running,17.2,High,7.8,5.6,1,low
Men,38,170,69.2,Gymnastics,9.4,Moderate,2.4,7.8,5,high
Men,20,188,95.0,Swimming,19.0,High,2.0,9.5,1,high
Men,27,213,107.3,Basketball,17.6,High,8.3,9.9,5,high
Women,32,163,51.2,Running,14.5,Moderate,3.7,9.6,0,low
Men,37,161,57.7,Gymnastics,11.4,Moderate,5.0,4.1,5,high
Men,33,168,64.7,Gymnastics,2.6,Low,9.9,7.8,4,high
Men,20,175,82.5,Football,0.8,Low,3.8,3.7,3,low
Women,37,195,73.9,Basketball,5.0,Low,9.9,4.2,3,high
Men,19,168,73.2,Running,9.8,Moderate,9.2,7.1,3,high
Women,21,199,74.7,Basketball,3.6,Low,7.2,1.7,3,high
Men,28,179,78.7,Football,4.2,Low,3.0,3.9,5,high
Women,30,196,70.1,Basketball,18.0,High,9.2,8.0,0,high
Men,32,177,66.1,Gymnastics,16.6,High,7.0,2.7,4,high
Women,27,150,49.1,Gymnastics,9.8,Moderate,2.1,7.2,0,low
Women,33,179,62.7,Running,16.5,High,1.4,8.3,1,high
Men,26,188,73.0,Running,16.8,High,5.7,8.3,3,high
Women,21,198,64.0,Basketball,18.6,High,8.3,2.0,1,high
Men,20,205,106.0,Basketball,11.0,Moderate,9.0,5.0,3,high
Women,21,166,47.7,Gymnastics,7.4,Moderate,6.2,9.8,3,low
Women,23,166,64.9,Swimming,12.7,Moderate,2.7,9.2,1,low
Women,22,184,81.5,Basketball,3.9,Low,1.0,3.2,3,low
Women,28,152,47.3,Gymnastics,9.2,Moderate,9.6,1.4,2,low
Men,36,177,67.1,Swimming,15.9,High,4.4,9.5,5,high
